"","latitude","longitude"
"308",-14.14535,132.82458
"309",-14.0995,131.31876
"310",-14.10027,131.31482
"311",-14.14059,131.38921
"312",-14.14139,131.38522
"313",-14.14218,131.38123
"314",-14.13493,131.38799
"315",-14.12927,131.38676
"316",-14.13008,131.38269
"317",-14.12443,131.38144
"318",-14.1018,131.30698
"319",-14.10257,131.30309
"320",-15.50254,129.98666
"321",-14.11957,131.37624
"322",-14.12193,131.3645
"323",-14.1331,131.33824
"324",-14.13231,131.34221
"325",-14.13151,131.34616
"326",-14.12602,131.37355
"327",-15.49982,129.9736
"328",-15.49925,129.97652
"329",-15.50372,129.98059
"330",-15.50313,129.98364
"331",-14.12523,131.37744
"332",-14.14044,131.36041
"333",-14.13966,131.36433
"334",-15.46046,129.95981
"335",-15.45807,129.97194
"336",-15.46493,129.96384
"337",-15.46433,129.96686
"338",-14.12272,131.36061
"339",-15.46374,129.96985
"340",-15.46314,129.9729
"341",-15.46254,129.97595
"342",-14.1235,131.35672
"343",-14.12428,131.35283
"344",-14.12507,131.34894
"345",-14.12585,131.34502
"346",-14.12665,131.34105
"347",-14.12824,131.33315
"348",-14.12904,131.32916
"349",-14.11631,131.36314
"350",-14.11785,131.3555
"351",-14.11863,131.35162
"352",-14.11941,131.34776
"353",-14.1202,131.34384
"354",-14.121,131.33986
"355",-14.1226,131.33192
"356",-14.12339,131.32799
"357",-14.11298,131.35043
"358",-14.11536,131.33861
"359",-15.46194,129.97899
"360",-15.46134,129.98207
"361",-15.47058,129.96181
"362",-15.46999,129.96483
"363",-15.46881,129.97083
"364",-15.47921,129.94463
"365",-15.47565,129.96275
"366",-15.47505,129.96579
"367",-15.48427,129.94559
"368",-14.11616,131.33466
"369",-14.11696,131.33072
"370",-15.48368,129.94858
"371",-15.48132,129.96066
"372",-15.48072,129.96371
"373",-15.47951,129.96988
"374",-14.13391,131.33426
"375",-15.48403,129.97368
"376",-14.09911,131.30264
"377",-14.09873,131.32271
"378",-14.10733,131.34923
"379",-14.10811,131.34534
"380",-14.10892,131.34135
"381",-14.11052,131.33345
"382",-14.11131,131.32951
"383",-14.10407,131.33618
"384",-14.10486,131.33229
"385",-14.10565,131.32841
"386",-14.10643,131.32452
"387",-14.10078,131.32338
"388",-14.10157,131.31946
"389",-14.10237,131.31552
"390",-14.10285,131.33167
"391",-14.10362,131.32777
"392",-15.48911,129.97461
"393",-15.48855,129.97748
"394",-15.49475,129.97266
"395",-15.49418,129.97554
"396",-15.50041,129.97058
"397",-14.09832,131.30652
"398",-29.13718,123.02329
"399",-29.13833,123.01498
"400",-29.13775,123.01913
"401",-29.13325,123.00131
"402",-29.13383,122.99716
"403",-29.1344,122.993
"404",-15.43094,126.92735
"405",-15.43163,126.92348
"406",-15.42952,126.91121
"407",-15.43297,126.8918
"408",-15.57616,126.67043
"409",-15.57208,126.66969
"410",-15.551,126.66971
"411",-15.60086,126.72177
"412",-15.59599,126.70145
"413",-15.59665,126.69766
"414",-15.46207,126.97301
"415",-15.58119,126.73748
"416",-15.57414,126.68187
"417",-15.57481,126.67807
"418",-15.56871,126.68867
"419",-15.57073,126.67731
"420",-15.57141,126.67347
"421",-15.56462,126.68792
"422",-15.56733,126.67271
"423",-15.56054,126.68716
"424",-15.5443,126.73079
"425",-15.54626,126.6962
"426",-15.54694,126.69243
"427",-15.54761,126.68866
"428",-15.54829,126.68489
"429",-15.54896,126.68111
"430",-15.55032,126.67349
"431",-15.5442,126.68412
"432",-15.54556,126.67654
"433",-15.54624,126.67273
"434",-15.54488,126.68032
"435",-13.86005,132.89807
"436",-13.85888,132.87209
"437",-14.29328,129.89604
"438",-14.25662,129.89211
"439",-13.84636,132.86971
"440",-13.84736,132.86482
"441",-13.84838,132.85988
"442",-13.84939,132.85495
"443",-13.8504,132.85005
"444",-13.84114,132.86346
"445",-13.87352,132.92787
"446",-28.25162,128.56198
"447",-28.2507,128.567
"448",-28.25984,128.53812
