POSTAL_CODE,lon,lat
2082,151.134494,-33.5988104
2083,151.2219013,-33.5542808
2084,151.2219013,-33.6363689
2085,151.2044159,-33.7293236
2086,151.2248157,-33.7473073
2087,151.2160726,-33.773259
2088,151.2393885,-33.8303776
2089,151.2189869,-33.8379923
2090,151.2262729,-33.8283272
2091,NA,NA
2092,151.2423032,-33.7927181
2093,151.2627078,-33.8055737
2094,151.2729111,-33.7940757
2095,151.2947775,-33.8060158
2096,151.2889461,-33.7738038
2097,151.2947775,-33.734283
2099,151.2860306,-33.7500081
2100,151.2627078,-33.76459790000001
2101,151.2685382,-33.6891976
2102,151.2947775,-33.6881414
2103,151.3064407,-33.6757024
2104,151.2889461,-33.6610245
2105,151.290404,-33.6395909
2106,151.3122727,-33.6566564
2107,151.321021,-33.6357749
2108,151.2976932,-33.6298875
2109,151.1126498,-33.77382370000001
2110,151.1374068,-33.8274649
2111,151.125756,-33.8296098
2112,151.1111936,-33.807991
2113,151.134494,-33.7934648
2114,151.0849848,-33.8089747
2115,151.0616918,-33.8132521
2116,151.0384023,-33.8124093
2117,151.0296696,-33.7973906
2118,151.0413133,-33.7799114
2119,151.0646032,-33.7551665
2120,151.0762495,-33.7274311
2121,151.0791612,-33.7716764
2122,151.0966326,-33.7863691
2123,NA,NA
2124,NA,NA
2125,151.0296696,-33.7462388
2126,151.0413133,-33.72874669999999
2127,151.0675147,-33.840308
2128,151.0442244,-33.8343506
2129,151.0718821,-33.863152
2130,151.1359504,-33.8922971
2131,151.12548520000001,-33.8904917
2132,151.114106,-33.8828873
2133,151.1082813,-33.89673450000001
2134,151.1024569,-33.8799121
2135,151.0762495,-33.8808808
2136,151.0733379,-33.8929126
2137,151.1024569,-33.8543494
2138,151.0908086,-33.8462611
2139,151.0929926,-33.8385096
2140,151.0791612,-33.858623
2141,151.0413133,-33.8719405
2142,151.006385,-33.8323277
2143,151.0296696,-33.8893965
2144,151.0296696,-33.8485157
2145,150.9481887,-33.8173961
2146,150.9569167,-33.7915266
2147,150.9365521,-33.7632936
2148,150.9016476,-33.7849921
2150,151.0092954,-33.8151823
2151,151.0180269,-33.77395370000001
2152,150.9918338,-33.7902573
2153,150.9889238,-33.7613862
2154,150.9947439,-33.7270691
2155,150.9423702,-33.6880666
2156,150.9656452,-33.6530868
2157,151.0122058,-33.5420387
2158,151.0354914,-33.6914284
2159,151.0704263,-33.5876386
2160,150.9831038,-33.8365794
2161,150.9831038,-33.8570185
2162,151.006385,-33.883427
2163,150.9801939,-33.88436799999999
2164,150.9132815,-33.8492918
2165,150.9452794,-33.8702903
2166,150.9365521,-33.8961316
2167,150.8929227,-33.9690916
2168,150.8783824,-33.9117729
2170,150.9190988,-33.9477825
2171,150.8434913,-33.9333763
2172,150.9743743,-33.96456060000001
2173,150.9307341,-34.0425826
2174,150.8580282,-33.9651827
2175,150.8493059,-33.848126
2176,150.8783824,-33.8709405
2177,150.8812903,-33.8946607
2178,150.8027952,-33.8769426
2179,150.8086082,-33.9549525
2190,151.0529578,-33.90558
2191,151.0849848,-33.9061117
2192,151.0908086,-33.9178204
2193,151.11993090000001,-33.909932
2194,151.1024569,-33.91057840000001
2195,151.0733379,-33.9235692
2196,151.0558691,-33.92931310000001
2197,150.9976541,-33.8990652
2198,150.9860137,-33.9062913
2199,151.0209375,-33.9050378
2200,151.0296696,-33.9200458
2203,151.1374068,-33.9041707
2204,151.1548847,-33.9086291
2205,151.1490585,-33.9378099
2206,151.125756,-33.9267511
2207,151.1228434,-33.9541086
2208,151.0995447,-33.9379361
2209,151.0791612,-33.9454921
2210,151.0529578,-33.9566557
2211,151.0296696,-33.9608964
2212,151.0151163,-33.9495044
2213,150.9947439,-33.9519315
2214,150.9801939,-33.9405364
2216,151.1490585,-33.9531396
2217,151.1374068,-33.9757081
2218,151.11993090000001,-33.9712426
2219,151.1315813,-33.9946489
2220,151.0995447,-33.9583688
2221,151.1111936,-33.9919897
2222,151.0849848,-33.9623045
2223,151.0762495,-33.9830462
2224,151.0995447,-34.0094315
2225,151.0791612,-34.0016599
2226,151.0646032,-34.0106901
2227,151.0849848,-34.043981
2228,151.1024569,-34.03825
2229,151.1228434,-34.0460194
2230,151.1461455,-34.0621862
2231,151.1985879,-34.0194134
2232,151.0646032,-34.0311029
2233,151.0704263,-34.1193032
2234,151.006385,-34.0161592
2250,151.1869325,-33.3502247
2251,151.38519,-33.4721323
2252,NA,NA
2256,151.2568777,-33.5117779
2257,151.3385191,-33.5220832
2258,151.3501856,-33.3295763
2259,151.3501856,-33.2059456
2260,151.4377107,-33.4287117
2261,151.4318742,-33.3603327
2262,151.5428026,-33.2075583
2263,151.5077645,-33.2504355
2264,151.4552213,-33.1186851
2265,151.4435474,-33.0641471
2267,151.5749274,-33.0683359
2278,151.548643,-32.9351373
2280,151.6713386,-33.0223311
2281,151.6362736,-33.1170985
2282,151.6479611,-32.9648241
2283,151.5953736,-33.050132
2284,151.6187438,-32.9524472
2285,151.6187438,-32.9110348
2286,151.5720067,-32.8995067
2287,151.6654939,-32.9018298
2289,151.7064109,-32.9481404
2290,151.712257,-32.9754667
2291,151.744414,-32.9497012
2292,151.7341816,-32.9225853
2293,151.7575709,-32.9153665
2294,151.7663428,-32.9123334
2295,151.7999723,-32.8674273
2296,151.7458759,-32.9125002
2297,151.7575709,-32.9050024
2298,151.7210265,-32.9025199
2299,151.7034879,-32.9085765
2300,151.7795013,-32.9272155
2302,151.7604948,-32.92644610000001
2303,151.7502614,-32.9252332
2304,151.7356433,-32.877603
2305,151.7064109,-32.9274242
2306,151.680106,-32.9908543
2307,151.6917966,-32.879801
2308,151.7034879,-32.8930342
2309,NA,NA
2310,NA,NA
2311,151.4668962,-32.2611927
2312,152.3799862,-32.1257631
2314,NA,NA
2315,152.151274,-32.7344109
2316,152.0399534,-32.7647951
2317,152.0897462,-32.7326108
2318,151.8643252,-32.753389
2319,152.0048138,-32.7043146
2320,151.5369624,-32.7147232
2321,151.4435474,-32.6916544
2322,151.6654939,-32.8189255
2323,151.4902483,-32.9103365
2324,151.9111422,-32.6400424
2325,151.1869325,-32.9380528
2326,151.4552213,-32.787791
2327,151.4844099,-32.83126130000001
2328,150.6285091,-32.466267
2329,150.1184797,-32.0459832
2330,150.8609358,-32.7319195
2331,NA,NA
2333,150.7214362,-32.2415573
2334,151.38519,-32.6875639
2335,151.3501856,-32.6270649
2336,151.1869325,-32.1089351
2337,151.0937206,-31.9193182
2338,151.0005643,-31.7295314
2339,150.535641,-31.7795952
2340,151.0471355,-31.2814691
2341,150.6052865,-31.3599657
2342,150.6052865,-31.1929989
2343,150.3037323,-31.4297744
2344,150.6981989,-31.1325489
2345,150.8376769,-30.9158156
2346,150.6749653,-30.6870373
2347,150.4892292,-30.3053875
2348,NA,NA
2350,151.9813913,-30.4941859
2351,151.6410199,-30.4899535
2352,151.1636244,-31.0794521
2353,151.0704263,-30.9728211
2354,151.8877321,-31.0638225
2355,151.0937206,-30.7474594
2356,148.96649,-30.54365829999999
2357,149.1960526,-31.3085444
2358,151.373521,-30.5621734
2359,151.0005643,-30.1352024
2360,151.2335592,-29.640762
2361,151.1869325,-29.2477204
2365,151.6070583,-30.0677809
2369,151.2102442,-29.9529375
2370,151.9813913,-29.6445018
2371,151.6070583,-29.3880642
2372,151.9813913,-29.1323998
2379,149.7948904,-31.0917446
2380,150.1647697,-30.9361952
2381,149.9797036,-31.305517
2382,150.1647697,-30.6855751
2386,148.8289611,-30.0503142
2387,148.96649,-29.7110242
2388,149.3800105,-30.36028289999999
2390,149.9334764,-30.1669781
2395,149.4260421,-31.5759338
2396,149.1501056,-30.9238593
2397,149.5642369,-29.9061308
2398,149.7948904,-29.6707647
2399,150.1647697,-29.4257975
2400,149.7487272,-29.4491211
2401,150.3500838,-29.5555212
2402,150.4892292,-29.29364379999999
2403,150.7214362,-29.6456255
2404,150.6749653,-30.01423399999999
2405,149.5642369,-28.8981206
2406,149.0408494,-28.9041572
2408,150.4892292,-28.9549564
2409,150.1184797,-28.696216
2410,150.8144215,-28.9050811
2411,150.3269061,-29.1063577
2415,151.8643252,-32.2537173
2420,151.7473377,-32.3296556
2421,151.5369624,-32.5902258
2422,151.7941232,-31.9652427
2423,152.215754,-32.358861
2424,152.0282394,-31.6440437
2425,152.0282394,-32.4809178
2426,152.5796026,-31.8260586
2427,152.6501045,-31.8634637
2428,152.4738975,-32.2735633
2429,152.3095833,-31.7944775
2430,152.4973826,-31.92251319999999
2431,153.0500809,-30.91860209999999
2439,152.6148504,-31.6342174
2440,152.5443612,-30.9630729
2441,152.8029443,-31.2127192
2442,NA,NA
2443,152.7088752,-31.7402243
2444,152.8499952,-31.392698
2445,152.8029443,-31.5931838
2446,152.3565156,-31.4267124
2447,152.8735247,-30.740808
2448,152.9558991,-30.5997515
2449,152.6853649,-30.61332359999999
2450,152.9676695,-30.16526
2452,153.0912986,-30.3581041
2453,152.5913512,-30.2516968
2454,152.8735247,-30.4855002
2455,152.9794406,-30.5198264
2456,153.1325243,-30.0520062
2460,152.7323884,-29.6427683
2462,153.1325243,-29.7093022
2463,153.2739287,-29.6112567
2464,153.332874,-29.4843022
2465,153.244462,-29.4168813
2466,153.3623524,-29.3884679
2469,152.5443612,-28.9152316
2470,152.9676695,-28.878424
2471,153.2267838,-28.9987239
2472,153.3210837,-29.1481762
2473,153.4213208,-29.1102761
2474,152.9205918,-28.4803132
2475,152.4269361,-28.5241278
2476,152.4269361,-28.3950477
2477,153.4154233,-28.9094612
2478,153.5570056,-28.8529354
2479,153.5098019,-28.713311
2480,153.250355,-28.7665066
2481,153.568808,-28.6283277
2482,153.4154233,-28.5204603
2483,153.5098019,-28.4536389
2484,153.3446649,-28.3541283
2485,153.5157018,-28.178556
2486,153.4744054,-28.2187657
2487,153.5452038,-28.2768342
2488,153.5393031,-28.3352184
2489,153.5629067,-28.3834692
2490,153.4685065,-28.2663062
2500,150.8783824,-34.4207112
2502,150.8754745,-34.4884509
